model,regime,factor_design,p,n,K,K2_over_sqrt_n,BE_design_factor_p3,target_VW,balanced_coverage,complete_wald_coverage,balanced_mean_length,scaled_balanced_mean_length,complete_wald_mean_length,balanced_mean_estimate,balanced_mean_standard_error,balanced_mean_variance,oracle_variance,variance_inflation_percent,mean_gamma1,mean_gamma1_raw,sd_gamma1_raw,mean_gamma2,repetitions
two_point,exact boundary,randomized,0.5,200,12,10.182337649086284,89691027752952.39,1.0,0.9605,0.8265,0.11993940176781666,5.8758066877163495,0.03188690589756536,0.9999088888888888,0.030597348398716355,0.0009416353065700378,0.0008333333333333334,12.996236788404536,0.005435589569160998,0.00024637566137566144,0.013599808413584942,0.9995082182241816,6000
two_point,near boundary,randomized,0.52,200,12,10.182337649086284,89691027752952.39,0.9984,0.9618333333333333,0.7698333333333334,0.12092916787367178,5.924295126197281,0.03629406269486873,0.9984400000000001,0.030849844391923946,0.0009587849611385654,0.0008626176000000001,11.148318923537538,0.006410166288737718,0.0016517006802721091,0.014590188968735615,0.9966979624365732,6000
Gaussian squared difference,"regular, unbounded",randomized,,200,12,10.182337649086284,89691027752952.39,1.0,0.9388333333333333,,0.4050426928386079,19.842958429948947,,1.0006182415170946,0.10332911625762849,0.0109085120658852,0.010833333333333334,0.6939575312479906,0.5037410833923074,0.5037410833923074,0.1579370015951992,1.0004284776468617,6000
