model,regime,factor_design,p,n,K,K2_over_sqrt_n,BE_design_factor_p3,target_VW,balanced_coverage,complete_wald_coverage,balanced_mean_length,scaled_balanced_mean_length,complete_wald_mean_length,balanced_mean_estimate,balanced_mean_standard_error,balanced_mean_variance,oracle_variance,variance_inflation_percent,mean_gamma1,mean_gamma1_raw,sd_gamma1_raw,mean_gamma2,repetitions
two_point,exact boundary,randomized,0.5,200,4,1.131370849898476,1059282183.75,1.0,0.9533333333333334,0.8311666666666667,0.2067352366017595,5.847355508452379,0.0316140483710923,1.00002,0.05273954986735999,0.0027882070823316797,0.0025,11.528283293267183,0.014523231292517006,0.0004146598639455776,0.03609839144727584,0.9990969825925359,6000
two_point,exact boundary,randomized,0.5,800,4,0.565685424949238,529641091.875,1.0,0.95425,0.81,0.10066109852552407,5.69425162952682,0.007854368475565927,0.9998718750000001,0.025679323528270417,0.0006598782454378286,0.000625,5.580519270052586,0.006904717336683417,-0.00028768216080402015,0.017740575021053417,1.0005674540070584,4000
two_point,exact boundary,randomized,0.5,3200,4,0.282842712474619,264820545.9375,1.0,0.9494444444444444,0.8205555555555556,0.049684484965083,5.621157798171401,0.0019132737657861802,1.000148263888889,0.012674846414778,0.00016067990069594266,0.00015625,2.835136445403297,0.003582958733138645,0.00015546429564733652,0.008789104722691198,0.9996876945889239,1800
two_point,exact boundary,randomized,0.5,12800,4,0.1414213562373095,132410272.96875,1.0,0.9485714285714286,0.8028571428571428,0.024671482868137834,5.582519308156159,0.00047988950201485606,1.0001424107142856,0.006293861280804992,3.9614479619724304e-05,3.90625e-05,1.4130678264942187,0.0018005406265350777,0.00013627849662841007,0.004367152694180728,0.9997263532526617,700
