model,regime,factor_design,p,n,K,K2_over_sqrt_n,BE_design_factor_p3,target_VW,balanced_coverage,complete_wald_coverage,balanced_mean_length,scaled_balanced_mean_length,complete_wald_mean_length,balanced_mean_estimate,balanced_mean_standard_error,balanced_mean_variance,oracle_variance,variance_inflation_percent,mean_gamma1,mean_gamma1_raw,sd_gamma1_raw,mean_gamma2,repetitions
two_point,exact boundary,randomized,0.5,200,12,10.182337649086284,89691027752952.39,1.0,0.9642,0.8395,0.11983395260058272,5.8706407546458586,0.03157521928546519,0.9999753333333334,0.03057044760664422,0.0009398252725343682,0.0008333333333333334,12.779032704124171,0.005333337868480726,0.00011490476190476195,0.013536390198016092,0.9997902181977044,10000
two_point,near boundary,randomized,0.52,200,12,10.182337649086284,89691027752952.39,0.9984,0.9604,0.7683,0.12114186220359673,5.934714977787267,0.03650754970274587,0.9984576666666668,0.03090410414659359,0.000962465753604194,0.0008626176000000001,11.575019290609646,0.006607510204081633,0.0018111950113378682,0.014887106553946493,0.9963786594270737,10000
two_point,near boundary,randomized,0.54,200,12,10.182337649086284,89691027752952.39,0.9936,0.9578,0.7897,0.12461053814727524,6.104644700688852,0.04908398950734837,0.9937503333333334,0.0317889867186814,0.0010230342522964146,0.0009498816000000001,7.7012390066735215,0.010015664399092971,0.006348578231292517,0.01738659249538011,0.9872651571774667,10000
two_point,near boundary,randomized,0.56,200,12,10.182337649086284,89691027752952.39,0.9855999999999999,0.9497,0.8298,0.13123695867197685,6.4292716828213425,0.06761537267076914,0.9860256666666666,0.03347943118015363,0.0011416141663971677,0.0010933589333333338,4.413485049847066,0.016608614512471656,0.014237580498866214,0.02090157193697842,0.9713302513772815,10000
two_point,near boundary,randomized,0.58,200,12,10.182337649086284,89691027752952.39,0.9744,0.9492,0.8557,0.14078994345787926,6.8972704477419775,0.0881319210565016,0.9741546666666665,0.03591646187593558,0.0013210713323461162,0.0012901055999999995,2.4002478825079665,0.026515920634920632,0.02521280045351474,0.02504403768370498,0.948903503577244,10000
two_point,near boundary,randomized,0.6,200,12,10.182337649086284,89691027752952.39,0.96,0.9485,0.8836,0.15214981601030264,7.453788273671682,0.1086545115274824,0.9605056666666667,0.03881444179853329,0.0015465526019037027,0.0015359999999999998,0.6870183531056506,0.03891892290249434,0.0383213537414966,0.028847978488086158,0.9218089726245795,10000
two_point,near boundary,randomized,0.62,200,12,10.182337649086284,89691027752952.39,0.9424,0.9385,0.9061,0.16545383940843048,8.105549650700912,0.12890617574011876,0.9431259999999998,0.04220838768301594,0.0018259472770770805,0.0018257429333333334,0.011192361203571366,0.054272718820861675,0.05407927210884354,0.03170822347786359,0.8885914807918162,10000
two_point,near boundary,randomized,0.64,200,12,10.182337649086284,89691027752952.39,0.9216,0.9369,0.908,0.18018106401587164,8.827033363012735,0.14912994815133757,0.9216129999999999,0.04596540177195014,0.002158435871597457,0.0021528576,0.25911010544577007,0.07255560770975057,0.07250964172335601,0.034334729015406594,0.8487884608829354,10000
two_point,near boundary,randomized,0.66,200,12,10.182337649086284,89691027752952.39,0.8976,0.9412,0.9313,0.19488451325455372,9.547352324886432,0.1681459050209004,0.8976566666666668,0.04971635060434221,0.0025162475254700157,0.0025096896000000005,0.261304245354288,0.09227025396825397,0.09226313378684807,0.0362909267577311,0.8050109353259235,10000
two_point,near boundary,randomized,0.68,200,12,10.182337649086284,89691027752952.39,0.8704,0.9456,0.9351,0.20911547035548328,10.24452399386072,0.1860605324556968,0.8703026666666667,0.05334676351324806,0.0028859924292919835,0.0028874069333333346,-0.04898873189717046,0.11272307709750566,0.11272219274376419,0.036933022441929135,0.7578370648102444,10000
two_point,near boundary,randomized,0.7,200,12,10.182337649086284,89691027752952.39,0.8400000000000001,0.9439,0.9319,0.2228677609090064,10.918245886873297,0.20282796805042255,0.8406619999999999,0.05685506536522072,0.003268354709196439,0.0032759999999999985,-0.23337273515138257,0.13397189569160997,0.13397189569160997,0.037314252997250164,0.7067001544370877,10000
two_point,near boundary,randomized,0.72,200,12,10.182337649086284,89691027752952.39,0.8064,0.9433,0.9326,0.2360870000027956,11.565853698225999,0.21880564139343534,0.8061596666666666,0.06022738220319858,0.003658410747070026,0.0036642815999999995,-0.16021838850959202,0.15580492970521542,0.15580492970521542,0.036820559453994796,0.6507745835588614,10000
two_point,near boundary,randomized,0.74,200,12,10.182337649086284,89691027752952.39,0.7696000000000001,0.9412,0.9312,0.24860150670318854,12.178936814198076,0.23351271627100606,0.7686636666666666,0.06341991706585567,0.004047376482461764,0.004039886933333334,0.18539006789111134,0.1777476394557823,0.1777476394557823,0.03521899530721784,0.5909084320153415,10000
two_point,near boundary,randomized,0.76,200,12,10.182337649086284,89691027752952.39,0.7296,0.9451,0.9399,0.2594318640766959,12.709513800139725,0.2462799570520055,0.7287296666666667,0.066182814103489,0.004399349930630022,0.004389273600000001,0.2295671573087077,0.1978548412698413,0.1978548412698413,0.03227093347399958,0.5307037262798363,10000
two_point,near boundary,randomized,0.78,200,12,10.182337649086284,89691027752952.39,0.6863999999999999,0.948,0.9441,0.2684228534471711,13.149980524948756,0.2569979056978757,0.686208,0.0684764759874305,0.004703006209785555,0.0046977216,0.11249303887133077,0.21554435600907032,0.21554435600907032,0.028720373234236537,0.4705429075249783,10000
two_point,near boundary,randomized,0.8,200,12,10.182337649086284,89691027752952.39,0.6399999999999999,0.9453,0.9367,0.275538640951279,13.498581495011496,0.26565387061205553,0.6404273333333333,0.07029176125803657,0.004950700425032955,0.004949333333333333,0.02762173423265235,0.23046038548752837,0.23046038548752837,0.024851227296760346,0.4097912583388651,10000
