component,target,mean_estimate,bias,rmse,coverage,mean_interval_length,repetitions
mean,0.6499999999999999,0.6504177178406192,0.0004177178406192805,0.051181535724085396,0.9436666666666667,0.2007176434059664,3000
covariance,0.08333333333333333,0.08328391020160476,-4.9423131728565384e-05,0.003829242639716677,0.9526666666666667,0.015255751445608043,3000
total,0.7333333333333333,0.733701628042224,0.00036829470889077065,0.05135571006742194,0.9443333333333334,0.2012563465101591,3000
