inner_sample_size,mean_signed_error,mean_absolute_error,rmse,q90_absolute_error,mean_reconstruction_rms,mean_squared_reconstruction_scale,repetitions,loglog_slope_mae_vs_rms
20,0.11086723044255174,0.11114941774002726,0.11910310259507252,0.164446076382072,0.3413857570100667,0.11683996174209256,700,1.8810399062408587
40,0.06133811692328372,0.06157457656203501,0.06777114736370944,0.1016884031878489,0.25030504206900633,0.06278835088650812,700,1.8810399062408587
80,0.03206332556584911,0.033165294762468885,0.038272552337222286,0.0593084955778491,0.18352179890785603,0.033758949029844984,700,1.8810399062408587
160,0.01634764003484634,0.018141111199933863,0.021837153662391497,0.03602965338659906,0.13285997541611616,0.0176872558761009,700,1.8810399062408587
320,0.008100846281085976,0.010449274659507018,0.013055448641304014,0.021661466459965265,0.09637643842453172,0.009304626318380076,700,1.8810399062408587
